"time_begin","file_found","time_file","rows","time_end","error_script"
"2022-04-03 00:11:03",TRUE,"2022-04-03 00:10:03",280,"2022-04-03 00:12:04",FALSE
"2022-04-03 01:11:02",TRUE,"2022-04-03 01:10:03",280,"2022-04-03 01:12:03",FALSE
"2022-04-03 02:11:02",TRUE,"2022-04-03 02:10:04",280,"2022-04-03 02:12:02",TRUE
"2022-04-03 03:11:02",TRUE,"2022-04-03 03:10:03",280,"2022-04-03 03:12:04",FALSE
"2022-04-03 04:11:02",TRUE,"2022-04-03 04:10:04",280,"2022-04-03 04:12:03",FALSE
"2022-04-03 05:11:02",TRUE,"2022-04-03 05:10:04",280,"2022-04-03 05:12:02",FALSE
"2022-04-03 06:11:02",TRUE,"2022-04-03 06:10:02",280,"2022-04-03 06:12:03",FALSE
"2022-04-03 07:11:02",TRUE,"2022-04-03 07:10:03",280,"2022-04-03 07:12:05",FALSE
"2022-04-03 08:11:02",TRUE,"2022-04-03 08:10:03",280,"2022-04-03 08:12:04",FALSE
"2022-04-03 09:11:03",TRUE,"2022-04-03 09:10:07",280,"2022-04-03 09:12:06",FALSE
"2022-04-03 09:12:06",TRUE,"2022-04-03 08:15:03",960,"2022-04-03 09:13:10",FALSE
"2022-04-03 10:11:03",TRUE,"2022-04-03 10:10:04",280,"2022-04-03 10:12:04",FALSE
"2022-04-03 11:11:02",TRUE,"2022-04-03 11:10:03",280,"2022-04-03 11:12:05",FALSE
