sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0944A-9060,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0,3,1
SPO-AD0944A-9060,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0,3,1
SPO-AD0944A-9060,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0,3,1
SPO-AD0944A-9060,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0005,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,4.8,3,1
SPO-AD0942A-0005,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,7.7,3,1
SPO-AD0942A-0005,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,14.3,3,1
SPO-AD0942A-0005,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,26.9,3,1
SPO-AD0942A-0005,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,50.7,3,1
SPO-AD0942A-0005,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,67.5,3,1
SPO-AD0942A-0005,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-0001,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,1.6,3,1
SPO-AD0940A-0001,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,1.3,3,1
SPO-AD0940A-0001,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,2.7,3,1
SPO-AD0940A-0001,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,6,3,1
SPO-AD0940A-0001,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,16.7,3,1
SPO-AD0940A-0001,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,14.1,3,1
SPO-AD0940A-0001,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-0010,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.4,3,1
SPO-AD0940A-0010,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0.4,3,1
SPO-AD0940A-0010,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.5,3,1
SPO-AD0940A-0010,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.8,3,1
SPO-AD0940A-0010,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,1.5,3,1
SPO-AD0940A-0010,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,1.5,3,1
SPO-AD0940A-0010,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,NA,3,-1
SPO-AD0945A-0007,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0943A-0038,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.6,3,1
SPO-AD0943A-0038,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,2.4,3,1
SPO-AD0943A-0038,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,36.8,3,1
SPO-AD0943A-0038,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,134.3,3,1
SPO-AD0943A-0038,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,51.9,3,1
SPO-AD0943A-0038,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,51.2,3,1
SPO-AD0943A-0038,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0943A-0008,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,14,3,1
